section,question,answer
创建型,单例模式解决什么问题？Python 里有哪些实现方式？,保证类仅一个实例并提供全局访问。方式：`__new__` + 类变量、模块级对象、Borg 模式、`threading.Lock` 双重检查（见 `patterns/01_singleton.py`）。
创建型,单例在多线程 Web 服务中有何风险？,非线程安全实现可能创建多个实例；且单例隐藏依赖、不利测试。应评估是否真需要全局唯一。
创建型,单例 vs 静态类？,单例可延迟初始化、可继承（慎用）；静态类无实例状态管理灵活性。
创建型,工厂方法与简单工厂（if/else 创建）区别？,工厂方法用子类决定实例化哪个产品，符合开闭原则；简单工厂常集中在一个函数里，新增类型要改该函数。
创建型,何时用工厂方法？,创建逻辑会扩展、需把「创建」与「使用」解耦时，如多种 Logger（`patterns/02_factory_method.py`）。
创建型,抽象工厂与工厂方法的边界？,工厂方法创建**一种**产品；抽象工厂创建**一族**相关产品（如 Dark 主题按钮+输入框）。
创建型,产品族很多时抽象工厂的问题？,接口膨胀，每增产品类型要改所有工厂实现。
创建型,Builder 与构造函数大量可选参数相比？,Builder 分步清晰、易读，可保证构建顺序与合法性（`patterns/04_builder.py` HTTP 请求）。
创建型,是否需要 Director？,构建步骤固定且多处复用时引入 Director；否则客户端直接调 Builder 即可。
创建型,浅拷贝与深拷贝在原型模式中的影响？,浅拷贝共享嵌套可变对象；应用 `copy.deepcopy`（`patterns/05_prototype.py`）。
创建型,何时用原型而非 `__init__`？,克隆成本高、配置复杂或需保留当前状态快照时。
结构型,适配器 vs 装饰器？,适配器改接口以兼容；装饰器同接口下增强行为。
结构型,类适配器与对象适配器？,类适配器多重继承；对象适配器组合被适配对象（本仓库用法）。
结构型,桥接 vs 策略？,桥接分离抽象与实现两个维度；策略封装可替换算法，常由客户端选择。
结构型,桥接解决什么问题？,避免笛卡尔积式子类爆炸（形状×渲染器）。
结构型,组合模式如何保证对叶子和容器使用一致？,统一组件接口；容器实现 add 并递归处理子节点（`patterns/08_composite.py`）。
结构型,组合模式的代价？,难以限制「仅容器才有的操作」，需在接口或类型上约束。
结构型,GoF 装饰器与 Python `@decorator` 关系？,前者是结构型类组合；后者是语法糖包装函数，概念相关实现不同。
结构型,装饰器顺序为何重要？,外层装饰先被调用链包裹，顺序影响最终行为（如先折扣后运费）。
结构型,Facade 是否违反分层？,不必然；应为子系统提供简化入口，复杂规则不应全部堆在 Facade。
结构型,Facade 与 Mediator？,Facade 单向简化调用；Mediator 协调多方互相通信。
结构型,享元的关键是什么？,内在状态可共享，外在状态由客户端传入（字符样式 vs 位置）。
结构型,享元池何时失效？,池无界、键设计不当导致无法共享或内存泄漏。
结构型,代理 vs 装饰器职责划分？,代理侧重访问控制、懒加载；装饰侧重叠加功能。实践中需按意图命名。
结构型,虚拟代理要注意什么？,并发下避免重复创建真实对象；异步场景见 `demo_async()`。
行为型,责任链与装饰器链区别？,责任链可能不处理请求并传递；装饰器通常增强并传递。
行为型,动态责任链的价值？,运行时增删处理器，如审批流（`patterns/13_chain_of_responsibility.py` advanced）。
行为型,命令模式如何支持撤销？,封装操作为对象，保存逆操作或快照，`undo()` 恢复（`patterns/14_command.py`）。
行为型,异步命令队列场景？,命令入队后由 worker/async 执行，见 `demo_async()`。
行为型,何时不该用解释器模式？,语法复杂、高频执行；应使用 AST、解析器生成器或编译。
行为型,解释器与组合模式关系？,表达式树常由组合节点构成，interpret 递归求值。
行为型,Python 迭代器协议？,`__iter__` 返回迭代器，`__next__` 直至 `StopIteration`。
行为型,迭代时修改集合的问题？,可能跳过元素或异常；应迭代快照或禁止并发修改。
行为型,中介者模式的风险？,中介者演变为上帝对象，集中所有交互逻辑。
行为型,备忘录与 Command 撤销区别？,备忘录保存状态快照；Command 封装操作并可逆操作。
行为型,备忘录的封装边界？,原发器生成/恢复，外部不应随意改 Memento 内部。
行为型,观察者内存泄漏如何避免？,取消订阅、弱引用（`patterns/19_observer.py` WeakStockMarket）、生命周期绑定。
行为型,观察者 vs 发布订阅（消息队列）？,观察者通常进程内同步/异步调用；Pub/Sub 常跨进程解耦。
行为型,状态模式 vs 策略模式？,状态在内部根据事件自动切换；策略常由客户端显式选择。
行为型,状态类过多怎么办？,状态少可用 enum+转移表；复杂流程用状态机库。
行为型,策略模式如何与 if/else 共存？,变体少时用 if；算法族扩展、需运行时切换时用策略。
行为型,模板方法与策略区别？,模板方法用继承固定骨架；策略用组合替换步骤实现。
行为型,钩子方法（hook）作用？,子类可选重写某些步骤，不必实现全部抽象步骤。
行为型,访问者模式的前提？,元素层次相对稳定，操作经常新增。
行为型,双分派是什么？,`accept(visitor)` 与 `visit_concrete_element` 共同决定调用哪个 visit 方法。
行为型,新增元素类型的代价？,需修改所有 Visitor 子类，开闭原则在元素侧受损。
综合题,电商下单会用到哪些模式？,见 [ECOMMERCE_SCENARIO.md](ECOMMERCE_SCENARIO.md)：Facade 编排、State 订单状态、Observer 通知、Command 撤销、Strategy 运费等。
综合题,如何判断过度设计？,见 [ANTI_PATTERNS.md](ANTI_PATTERNS.md)：无扩展点却引入大量接口/类即为信号。
